PointName,Lng,Lat,Score
花石匠小区,116.6929279,39.87194556,31.56
花石匠小区东,116.6958198,39.8719045,3.78
化六,116.7593109,39.7395655,1
环湖小区北口1,116.7320806,39.84475347,7.67
环湖小区北口2,116.7321315,39.84473749,7.67
环湖小区南门1,116.7318166,39.84096965,3.78
环湖小区南门2,116.7316668,39.84086866,3.78
环湖小区正门1,116.7324485,39.84261773,22.11
环湖小区正门2,116.7324385,39.84263372,22.67
皇木厂1,116.6499123,39.91837594,6
皇木厂2,116.6500667,39.91859284,6
皇木厂3,116.6500648,39.91869485,6
皇木厂4,116.6499171,39.91839524,6
皇木厂5,116.6500578,39.91868179,6
黄厂铺1,116.7749129,39.7292989,4.33
黄厂铺2,116.7849135,39.72848591,1.56
黄厂铺北口1,116.7739947,39.73344467,1.56
黄厂铺北口2,116.7848144,39.73782536,3.22
黄东仪村,116.903784,39.81834514,3.78
汇鸿家园,116.5798889,39.9183245,12.11
漷城西三路路口,116.7672594,39.77372179,4.33
漷城西四路,116.7719767,39.76082058,2.11
漷城西四路路口,116.7719016,39.76684105,1.56
漷城西一路路口,116.7611703,39.76711058,1
漷大路北口,116.7846176,39.77408296,11.56
漷县村,116.7758889,39.77531921,9.33
漷县村南口,116.776891,39.76708177,2.67
漷县村十字街,116.7754645,39.77522627,11
漷县村西,116.7671184,39.77362351,3.78
漷县南口,116.7766391,39.76705178,2.67
漷县南口东,116.7804236,39.76762287,3.78
漷县三街,116.7863926,39.76845121,2.67
漷县三街路口,116.771924,39.7654992,3.22
漷县市场,116.7855691,39.77751443,21
漷县西四路,116.7719518,39.76086871,1.56
漷县镇政府1,116.7882395,39.78043972,14.89
漷县镇政府2,116.7882465,39.78043094,14.89
漷县镇政府3,116.7882786,39.78039081,14.33
漷县镇政府4,116.7882615,39.78041981,14.89
漷县镇政府5,116.7882267,39.78045959,14.89
漷县中学1,116.7844951,39.77445633,6.56
漷县中学2,116.7856748,39.77488267,3.22
漷兴三街,116.7857483,39.76850769,1.56
霍屯,116.6979777,39.91675608,4.89
霍屯村1,116.697892,39.91677516,4.89
霍屯村2,116.6972477,39.9167926,8.22
霍屯村3,116.6970851,39.91677272,9.89
霍屯村4,116.6979414,39.91678439,4.89
加州小镇,116.6749302,39.86618776,21.56
加州小镇小区1,116.6749081,39.86628274,22.11
加州小镇小区2,116.6749242,39.86628273,22.11
嘉创二路,116.5511996,39.81313826,2.67
嘉创二路路口南,116.5511932,39.80934755,5.44
嘉创三路路口南,116.5576006,39.81902608,3.22
贾各庄,116.7464405,39.8393854,4.33
贾各庄西口,116.7427333,39.83877658,2.67
尖垡村1,116.651924,39.8129,3.22
尖垡村2,116.651918,39.81293097,3.22
坚村,116.8148282,39.69206501,2.67
蒋辛庄村,116.632145,39.81419471,9.89
蒋辛庄村北口,116.6318398,39.81977831,1.56
焦王庄,116.6676188,39.92925378,32.11
焦王庄北口1,116.6674235,39.93419063,42.11
焦王庄北口2,116.6674156,39.93416568,41.56
焦王庄南口,116.6676079,39.92937577,25.44
结研所1,116.6466133,39.92136864,17.67
结研所2,116.6466207,39.92136933,17.11
结研所3,116.6466057,39.9213665,17.67
结研所4,116.6465917,39.92136748,17.67
结研所5,116.645134,39.9212837,3.78
金地格林小区,116.646153,39.94932111,2.67
金各庄村,116.8349223,39.79231763,2.67
金桥北门1,116.5396658,39.7497617,8.78
金桥北门2,116.5396655,39.74974798,8.78
金桥小区,116.5396548,39.74967515,8.78
金桥小学1,116.5356987,39.74208178,20.44
金桥小学2,116.5356912,39.7421619,22.11
京东运乔建材城1,116.6905182,39.89156707,10.44
京东运乔建材城2,116.6904773,39.89170714,11
京东运乔建材城3,116.6905681,39.89159706,9.89
京东运乔建材城4,116.6905371,39.89173705,11
经海产业园,116.5572869,39.77802952,8.22
经海三路南口,116.5553201,39.77430128,4.33
晶彩小区,116.5460121,39.73990202,21.56
景盛南二街,116.551235,39.73187053,11
靓景明居小区1,116.6302401,39.88105535,7.11
靓景明居小区2,116.6319442,39.88453838,13.78
敬园小区,116.5725231,39.80168836,58.78
九棵树(京津公路),116.6569471,39.88777256,15.44
九棵树1,116.6569392,39.88774261,15.44
九棵树10,116.6569447,39.88775215,15.44
九棵树11,116.656993,39.88770761,16
九棵树12,116.6570748,39.88764955,16.56
九棵树13,116.6569392,39.88772759,14.89
九棵树14,116.6570379,39.8876756,17.11
九棵树15,116.6569881,39.8877036,16
九棵树16,116.6570469,39.8876756,16.56
九棵树17,116.6552492,39.88921012,11
九棵树2,116.656966,39.88773061,14.89
九棵树3,116.6553599,39.889118,11.56
九棵树4,116.656997,39.88770761,16
九棵树5,116.6570509,39.88766542,16
九棵树6,116.6569492,39.88772668,14.89
九棵树7,116.6569492,39.88774765,14.89
九棵树8,116.6568894,39.88777469,17.67
九棵树9,116.6551606,39.88879222,11
