pts.lon,pts.lat,pts.amenity
-73.9691043,40.7508941,embassy
-73.9692322,40.749976,embassy
-73.9775523,40.7491333,embassy
-73.9757843,40.7492477,embassy
-73.9748979,40.7497757,embassy
-73.9739974,40.7508066,embassy
-73.9739648,40.750791,embassy
-73.9735285,40.7523304,embassy
-73.9744013,40.7560189,embassy
-73.9655949,40.7691228,embassy
-73.9599692,40.7790391,embassy
-73.9702238,40.7603812,embassy
-73.9709162,40.7511613,embassy
-73.9682888,40.7530175,embassy
-73.971115,40.7509269,embassy
-73.9690108,40.7527418,embassy
-73.9755221,40.7510405,embassy
-73.965999,40.7523215,embassy
-73.971093,40.7509184,embassy
-73.9711577,40.7509147,embassy
-73.9635898,40.7666777,embassy
-73.9699586,40.7532999,embassy
-73.9696296,40.7497255,embassy
-73.9719563,40.7504761,embassy
-73.975373,40.7526846,embassy
-73.9733906,40.753531,embassy
-73.9748535,40.7497637,embassy
-73.9691863,40.7508715,embassy
-73.9686769,40.7535293,embassy
-73.9699472,40.7533127,embassy
-73.965904,40.7522838,embassy
-73.9699384,40.7533273,embassy
-73.9687706,40.7605921,embassy
-73.965971,40.75231,embassy
-73.9658712,40.7522698,embassy
-73.9711705,40.7508979,embassy
-73.9716537,40.7502482,embassy
-73.9699778,40.7532727,embassy
-73.9660254,40.7523322,embassy
-73.9716756,40.750222,embassy
-73.9744712,40.7523481,embassy
-73.9660508,40.752342,embassy
-73.9710717,40.7509106,embassy
-73.971632,40.7502766,embassy
-73.9716075,40.7503074,embassy
-73.969054,40.7527604,embassy
-73.9658357,40.7522564,embassy
-73.9719488,40.7504866,embassy
-73.9660819,40.752357,embassy
-73.9702717,40.7533142,embassy
-73.9804394,40.7522888,embassy
-73.9692055,40.7509342,embassy
-73.9689651,40.7503478,embassy
-73.9772662,40.7562612,embassy
-73.9661167,40.752371,embassy
-73.9715559,40.7503182,embassy
-73.9691664,40.7509183,embassy
-73.9719641,40.7504664,embassy
-73.9717625,40.7507595,embassy
-73.966064,40.7523779,embassy
-73.9712593,40.7555286,embassy
-73.9756539,40.7502598,embassy
-73.9699891,40.7532573,embassy
-73.971697,40.750195,embassy
-73.9700034,40.7532384,embassy
-73.9715535,40.7544024,embassy
-73.9660334,40.7523631,embassy
-73.9660076,40.7523524,embassy
-73.9689909,40.7527653,embassy
-73.965984,40.7523408,embassy
-73.9659513,40.7523284,embassy
-73.9659217,40.7523161,embassy
-73.9658866,40.7523036,embassy
-73.9748675,40.7498118,embassy
-73.9711845,40.7508789,embassy
-73.9658554,40.7522901,embassy
-73.971576,40.7502974,embassy
-73.971599,40.7502631,embassy
-73.9731241,40.7512023,embassy
-73.9696721,40.7506867,embassy
-73.9720098,40.7495356,embassy
-73.9658237,40.7522764,embassy
-74.0063463,40.7109716,embassy
-73.9719396,40.7504829,embassy
-73.9660812,40.7524104,embassy
-73.9719476,40.7504731,embassy
-73.9711327,40.750906,embassy
-73.9758155,40.7492094,embassy
-73.9711459,40.7508893,embassy
-73.9744561,40.7511342,embassy
-73.9690315,40.7527871,embassy
