lon,lat,amenity
-73.9940754,40.7158998,school
-73.9940831,40.7159059,school
-73.9940971,40.7159193,school
-73.9941086,40.7159338,school
-73.9941176,40.7159494,school
-73.994121,40.7159575,school
-73.9941259,40.7159741,school
-73.9941278,40.715991,school
-73.9941277,40.7159995,school
-73.9941254,40.7160164,school
-73.9941201,40.716033,school
-73.9940636,40.7161449,school
-73.9939966,40.7161252,school
-73.9939469,40.7162231,school
-73.9940298,40.7162475,school
-73.9940355,40.7162557,school
-73.9940365,40.7162617,school
-73.9940345,40.7162676,school
-73.9940297,40.7162725,school
-73.9940229,40.7162756,school
-73.994015,40.7162766,school
-73.9940271,40.7162802,school
-73.9939306,40.7164701,school
-73.9939617,40.7164792,school
-73.9938998,40.7165994,school
-73.9938885,40.7166138,school
-73.9938748,40.7166269,school
-73.9938589,40.7166385,school
-73.9938411,40.7166484,school
-73.9938117,40.7166598,school
-73.9937798,40.7166664,school
-73.9937469,40.7166681,school
-73.9937141,40.7166648,school
-73.9936829,40.7166567,school
-73.9936738,40.7166531,school
-73.9963853,40.7367119,school
-73.9963986,40.7366937,school
-73.9963154,40.7366585,school
-73.9962405,40.7366269,school
-73.9964215,40.736379,school
-73.9967361,40.736512,school
-73.9965418,40.736778,school
-73.9964604,40.7367436,school
-73.9963853,40.7367119,school
-73.9983979,40.7367561,school
-73.9985346,40.7368127,school
-73.9985642,40.7367713,school
-73.9986232,40.7367957,school
-73.9985621,40.7368812,school
-73.998461,40.7370226,school
-73.9982652,40.7369416,school
-73.9983671,40.7367991,school
-73.9983979,40.7367561,school
-73.930386,40.766666,school
-73.9291499,40.765983,school
-73.9296452,40.7653742,school
-73.9309038,40.7660724,school
-73.93082,40.7661375,school
