,long,lat,id,num
6385,-74.0017849,40.7293554,7.0734,621
6386,-74.0019556,40.7291547,7.0735,626
6387,-74.0019705,40.7291372,7.0736,629
6388,-73.9971308,40.7290516,7.0737,726
6389,-73.9977056,40.7293291,7.0738,709
6390,-73.9974998,40.7295738,7.0739,723
6391,-73.9973048,40.7298058,7.074,707
6392,-73.9970233,40.7296699,7.0741,704
6393,-73.99673,40.7295282,7.0742,723
6394,-73.996937,40.7292821,7.0743,730
6395,-73.9971308,40.7290516,7.0744,726
6396,-73.980406,40.727164,7.0745,176
6397,-73.9805648,40.7272306,7.0746,180
6398,-73.9805578,40.7272403,7.0747,180
6399,-73.9804636,40.7273704,7.0748,185
6400,-73.9804139,40.727439,7.0749,188
6401,-73.9802551,40.7273725,7.075,180
6402,-73.9803173,40.7272866,7.0751,181
6403,-73.980406,40.727164,7.0752,176
6404,-73.998984,40.7346891,7.0753,548
6405,-73.9989944,40.734684,7.0754,549
6406,-73.9992054,40.7343965,7.0755,528
6407,-73.9992573,40.7344185,7.0756,531
6408,-73.9992309,40.7344546,7.0757,529
6409,-73.9993044,40.7344858,7.0758,528
6410,-73.9993301,40.734526,7.0759,531
6411,-73.9993037,40.734562,7.076,525
6412,-73.9993094,40.7345644,7.0761,525
6413,-73.999329,40.7346115,7.0762,529
6414,-73.9992973,40.7346548,7.0763,529
6415,-73.9992303,40.7346695,7.0764,535
6416,-73.9992358,40.7346978,7.0765,533
6417,-73.9992494,40.7346963,7.0766,530
6418,-73.9992543,40.7347216,7.0767,532
6419,-73.9990597,40.7347436,7.0768,544
6420,-73.9990514,40.7347506,7.0769,544
6421,-73.9990412,40.7347559,7.077,546
6422,-73.9990296,40.7347593,7.0771,547
6423,-73.9990174,40.7347605,7.0772,548
6424,-73.9990113,40.7347603,7.0773,550
6425,-73.9989993,40.7347582,7.0774,552
6426,-73.9989883,40.7347541,7.0775,553
6427,-73.9989789,40.7347481,7.0776,555
6428,-73.9989715,40.7347405,7.0777,554
6429,-73.9989667,40.7347319,7.0778,554
6430,-73.9989653,40.7347273,7.0779,554
6431,-73.9989647,40.7347179,7.078,554
6432,-73.998967,40.7347086,7.0781,553
6433,-73.998972,40.7346999,7.0782,551
6434,-73.998984,40.7346891,7.0783,548
6435,-74.0052088,40.7298308,7.0784,646
6436,-74.0051507,40.7298505,7.0785,651
6437,-74.0051938,40.7297727,7.0786,649
6438,-74.005386,40.7297774,7.0787,654
6439,-74.0054562,40.7297792,7.0788,645
6440,-74.005404,40.7300379,7.0789,643
6441,-74.0052553,40.7300856,7.079,646
6442,-74.005245,40.730029,7.0791,648
6443,-74.00523,40.7299469,7.0792,645
6444,-74.0052088,40.7298308,7.0793,646
6445,-73.9970481,40.7352962,7.0794,623
6446,-73.9972876,40.7353981,7.0795,663
6447,-73.9972697,40.7354225,7.0796,662
6448,-73.9971333,40.7356081,7.0797,666
6449,-73.9971133,40.7356352,7.0798,664
6450,-73.9970819,40.7356218,7.0799,660
6451,-73.9970782,40.7356268,7.08,659
6452,-73.9968971,40.7355498,7.0801,616
6453,-73.9969009,40.7355446,7.0802,616
6454,-73.996874,40.7355332,7.0803,611
6455,-73.9969534,40.7354251,7.0804,615
6456,-73.9970481,40.7352962,7.0805,623
6457,-73.972715,40.7358288,7.0806,30
6458,-73.9731065,40.7359936,7.0807,66
6459,-73.9731149,40.7359821,7.0808,66
6460,-73.9731049,40.7359779,7.0809,66
6461,-73.9731281,40.7359461,7.081,67
6462,-73.973208,40.7359798,7.0811,68
6463,-73.9731772,40.7360221,7.0812,68
6464,-73.9739251,40.7363368,7.0813,155
6465,-73.9735569,40.7368431,7.0814,108
